real value,Predicted value
317,297.8
328,304.5
341,326.6
341,328.1
331,327.1
308,307.8
287,297.9
285,294.6
312,310.0
322,304.3
313,300.2
305,300.1
302,295.6
298,294.4
294,293.7
299,294.3
320,304.9
355,329.9
367,340.8
363,337.3
361,337.0
350,340.5
333,330.3
337,312.0
334,343.4
334,348.7
344,345.7
341,346.7
328,344.0
307,334.1
291,335.4
297,338.2
325,338.0
332,313.9
321,302.5
309,297.2
304,300.6
306,290.5
306,289.5
311,291.0
333,295.5
369,334.7
379,341.6
376,340.1
371,338.4
358,342.7
339,329.9
341,322.0
340,297.6
344,303.3
353,329.5
348,330.9
334,327.3
312,307.2
297,301.2
302,311.2
327,354.8
327,358.6
311,355.6
300,360.6
290,339.0
284,336.7
278,335.3
280,335.2
301,340.5
343,357.7
361,365.7
360,357.2
355,351.6
344,329.2
326,304.2
328,300.8
327,320.5
334,323.3
347,344.8
345,344.6
330,346.2
307,306.8
292,299.4
296,297.1
330,331.0
333,330.5
317,331.8
307,326.5
299,325.7
295,321.4
293,320.5
298,320.5
318,322.0
350,377.8
363,390.5
358,389.7
348,380.6
331,328.4
308,326.9
301,329.8
295,319.2
307,330.7
326,332.6
333,335.6
330,334.1
317,319.7
328,315.2
344,317.6
382,318.8
387,303.1
374,301.3
369,298.9
345,295.0
360,288.8
360,290.3
363,291.0
381,296.7
399,333.3
404,345.8
392,345.5
378,343.2
357,346.5
331,329.6
319,333.3
311,328.8
322,331.5
341,344.3
346,345.7
341,344.3
325,317.1
328,320.5
346,321.0
402,340.8
426,370.3
425,369.6
424,368.3
395,355.1
411,354.6
408,353.1
397,352.9
400,352.3
409,389.8
413,397.6
401,396.7
389,384.3
369,352.4
342,341.2
329,336.4
324,325.1
336,327.2
357,346.9
364,346.7
360,344.0
345,314.5
346,309.6
364,302.4
409,363.3
417,370.9
403,369.6
396,365.7
373,354.5
391,352.3
393,350.8
398,356.5
410,358.7
427,388.7
434,394.2
421,388.4
404,380.3
379,356.6
348,339.5
337,336.3
331,321.6
342,324.8
359,352.8
366,360.6
361,354.5
350,342.2
363,345.9
380,363.6
420,402.1
417,404.8
404,399.0
403,388.8
374,376.6
393,387.3
390,380.0
397,379.3
